100,#100,,7 - 3,7,3,USA,,Emily Golub,Emily Golub,,,Johnemii,Emiilavaburst14,Emiilavaburst14,https://twitter.com/Emiilavaburst14,,,Safety Goggles,,,Chesto Berry,,,Focus Sash,,,Sitrus Berry,,,Booster Energy,,,Covert Cloak,40,-,View,https://pokepast.es/aff9e02def6bd134,,,,,,,Sandy Shocks,Tatsugiri,Ceruledge,Brute Bonnet,Espathra,Dondozo,,Booster Energy,Focus Sash,Safety Goggles,Sitrus Berry,Covert Cloak,Chesto Berry,,Ghost,Dragon,Dark,Flying,Fairy,Steel,Ghost,Dragon,Dark,Flying,Fairy,Steel,3 Sandy Shocks,1 Tatsugiri,0 Ceruledge,2 Brute Bonnet,6 Espathra,1 Dondozo,0 Ceruledge,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,3 Sandy Shocks,6 Espathra,Ceruledge,Dark,Safety Goggles,Dondozo,Steel,Chesto Berry,Tatsugiri,Dragon,Focus Sash,Brute Bonnet,Flying,Sitrus Berry,Sandy Shocks,Ghost,Booster Energy,Espathra,Fairy,Covert Cloak,,,,,,,,,Ceruledge,Dondozo,Tatsugiri,Brute Bonnet,Sandy Shocks,Espathra,,"Sandy Shocks, Tatsugiri, Ceruledge, Brute Bonnet, Espathra, Dondozo",,Enrique Grimaldo,48,Luke Allen,308,Haochen Wang,187,Daniel Hindes,61,Zee Costagliola,245,Abraham Orta,117,Zach Holowiak,93,Jered Hunn,72,Jack Moore,88,Sean Pandolfo,81
101,#101,,7 - 3,7,3,USA,,Ezequiel Cordero,Ezequiel Cordero,,,ZekromZeke,ZekromZeke,ZekromZeke,https://twitter.com/ZekromZeke,,,Safety Goggles,,,Mystic Water,,,Sitrus Berry,,,Lum Berry,,,Focus Sash,,,Assault Vest,40,-,View,https://pokepast.es/83d4c935acda47d2,,,,,Ax: El Salvador for VR (played '21 WCOP),,Flutter Mane,Dragonite,Palafin,Amoonguss,Iron Hands,Arcanine,,Focus Sash,Assault Vest,Mystic Water,Sitrus Berry,Lum Berry,Safety Goggles,,Fairy,Flying,Grass,Dark,Fire,Dark,Fairy,Flying,Grass,Dark,Fire,Dark,8 Flutter Mane,9 Dragonite,1 Palafin,2 Amoonguss,4 Iron Hands,0 Arcanine,0 Arcanine,1 Palafin,2 Amoonguss,4 Iron Hands,8 Flutter Mane,9 Dragonite,Arcanine,Dark,Safety Goggles,Palafin,Grass,Mystic Water,Amoonguss,Dark,Sitrus Berry,Iron Hands,Fire,Lum Berry,Flutter Mane,Fairy,Focus Sash,Dragonite,Flying,Assault Vest,,,,,,,,,Arcanine,Palafin,Amoonguss,Iron Hands,Flutter Mane,Dragonite,,"Flutter Mane, Dragonite, Palafin, Amoonguss, Iron Hands, Arcanine",,Max Karafilis,120,Yiwen Song,146,MacKenzie Fennell,52,Christian Ramirez,168,Devin Winter,78,Jake Muller,41,Rajan Bal,127,Brandon Tuchtenhagen,84,Joshua Wong,75,Owen Wright,71
102,#102,,7 - 3,7,3,USA,,Ryne Conley,Ryne Conley,,,Ryno,Ryno5311,Ryno5311,https://twitter.com/Ryno5311,,,Focus Sash,,,Booster Energy,,,Assault Vest,,,Sitrus Berry,,,Psychic Seed,,,Life Orb,40,-,View,https://pokepast.es/0ab145177f2ecff4,,,Twitter DMs,,Owner's Paste from Twitter DMs,,Iron Bundle,Dragapult,Iron Hands,Indeedee-F,Armarouge,Tauros-Paldea-Aqua,,Booster Energy,Life Orb,Sitrus Berry,Psychic Seed,Focus Sash,Assault Vest,,Water,Ghost,Grass,Fairy,Grass,Steel,Water,Ghost,Grass,Fairy,Grass,Steel,1 Iron Bundle,9 Dragapult,4 Iron Hands,5 Indeedee-F,0 Armarouge,1 Tauros-Paldea-Aqua,0 Armarouge,1 Iron Bundle,1 Tauros-Paldea-Aqua,4 Iron Hands,5 Indeedee-F,9 Dragapult,Armarouge,Grass,Focus Sash,Iron Bundle,Water,Booster Energy,Tauros-Paldea-Aqua,Steel,Assault Vest,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Dragapult,Ghost,Life Orb,,,,,,,,,Armarouge,Iron Bundle,Tauros-Paldea-Aqua,Iron Hands,Indeedee-F,Dragapult,,"Iron Bundle, Dragapult, Iron Hands, Indeedee-F (Indeedee-Female), Armarouge, Tauros-Paldea-Aqua",,Kent Karslioglu,91,Blake Falls,65,Robert Bosch,72,Jack Fuld,155,Jean-Claude Abiaad,146,Jacob Bolen,171,John Galvin,54,Jason Calderon,81,Michael Spinetta-McCarthy,32,Andrew Lavigne,52
103,#103,,7 - 3,7,3,IND,,Raghav Malaviya,Raghav Malaviya,,,ragi,raghavmalaviya,raghavmalaviya,https://twitter.com/raghavmalaviya,,,Assault Vest,,,Focus Sash,,,Mental Herb,,,Safety Goggles,,,Covert Cloak,,,Light Clay,40,-,View,https://pokepast.es/c14f101d27f3c538,,,,,,,Arcanine,Iron Bundle,Grimmsnarl,Iron Hands,Gholdengo,Amoonguss,,Assault Vest,Focus Sash,Light Clay,Safety Goggles,Covert Cloak,Mental Herb,,Normal,Water,Ghost,Fire,Water,Dark,Normal,Water,Ghost,Fire,Water,Dark,0 Arcanine,1 Iron Bundle,8 Grimmsnarl,4 Iron Hands,7 Gholdengo,2 Amoonguss,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Gholdengo,8 Grimmsnarl,Arcanine,Normal,Assault Vest,Iron Bundle,Water,Focus Sash,Amoonguss,Dark,Mental Herb,Iron Hands,Fire,Safety Goggles,Gholdengo,Water,Covert Cloak,Grimmsnarl,Ghost,Light Clay,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gholdengo,Grimmsnarl,,"Arcanine, Iron Bundle, Grimmsnarl, Iron Hands, Gholdengo, Amoonguss",,Gennaro Zappariello,214,Enrique Grimaldo,160,Logan Allen,248,Jared Norton,131,kieran roopchan,74,ANDREW MICHALOWSKI,52,Martin Dillon,102,Justin Carris,53,Ryu Turcios,127,Pedro Perez,55
104,#104,,7 - 3,7,3,IRL,,Patrick Donegan,Patrick Donegan,,,P Donz,Pd0nZ,Pd0nZ,https://twitter.com/Pd0nZ,,,Twisted Spoon,,,Charcoal,,,Choice Scarf,,,Psychic Seed,,,Safety Goggles,,,Life Orb,40,-,View,https://pokepast.es/0ba03b2b91e8f9c1,,,,,,,Hatterene,Kingambit,Armarouge,Annihilape,Indeedee-F,Torkoal,,Life Orb,Safety Goggles,Twisted Spoon,Choice Scarf,Psychic Seed,Charcoal,,Fire,Dark,Grass,Ghost,Grass,Fire,Fire,Dark,Grass,Ghost,Grass,Fire,8 Hatterene,7 Kingambit,0 Armarouge,4 Annihilape,5 Indeedee-F,0 Torkoal,0 Armarouge,0 Torkoal,4 Annihilape,5 Indeedee-F,7 Kingambit,8 Hatterene,Armarouge,Grass,Twisted Spoon,Torkoal,Fire,Charcoal,Annihilape,Ghost,Choice Scarf,Indeedee-F,Grass,Psychic Seed,Kingambit,Dark,Safety Goggles,Hatterene,Fire,Life Orb,,,,,,,,,Armarouge,Torkoal,Annihilape,Indeedee-F,Kingambit,Hatterene,,"Hatterene, Kingambit, Armarouge, Annihilape, Indeedee-F (Indeedee-Female), Torkoal",,Adrian Connor,360,ANDREW MICHALOWSKI,87,Zach Carlson,65,Justin Burns,166,Sean Serrano,228,Joel Nino,84,felipe molino,85,Zain Khalid,154,Eduardo Abrego,81,Ian Lee,36
105,#105,,7 - 3,7,3,JAM,,Ian Roberts,Ian Roberts,,,76,yng_76,yng_76,https://twitter.com/yng_76,,,Safety Goggles,,,Mystic Water,,,Sitrus Berry,,,Assault Vest,,,Leftovers,,,Focus Sash,40,-,View,https://pokepast.es/59d0b57b53f9bbb9,,,,,,,Gothitelle,Amoonguss,Flutter Mane,Arcanine,Palafin,Iron Hands,,Leftovers,Sitrus Berry,Focus Sash,Safety Goggles,Mystic Water,Assault Vest,,Steel,Dark,Fairy,Dark,Water,Grass,Steel,Dark,Fairy,Dark,Water,Grass,6 Gothitelle,2 Amoonguss,8 Flutter Mane,0 Arcanine,1 Palafin,4 Iron Hands,0 Arcanine,1 Palafin,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Palafin,Water,Mystic Water,Amoonguss,Dark,Sitrus Berry,Iron Hands,Grass,Assault Vest,Gothitelle,Steel,Leftovers,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Arcanine,Palafin,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Gothitelle, Amoonguss, Flutter Mane, Arcanine, Palafin, Iron Hands",,Montana Mott,329,Adrien Hurley,15,Elizabeth Cantrell,254,Ruiyang Huang,151,Anthony Sabol,84,Maura Hazen,51,juan guzman,36,Matthew Busch,55,Brandon Tuchtenhagen,23,Andrew Engelman,42
106,#106,,7 - 3,7,3,MEX,,Luis Canseco,Luis Canseco,,,Gracynka,Chaivon84,Chaivon84,https://twitter.com/Chaivon84,,,Safety Goggles,,,Focus Sash,,,Rocky Helmet,,,Choice Scarf,,,Assault Vest,,,Booster Energy,40,-,View,https://pokepast.es/b6f786365dab20f3,,,,,Mexican. Not active on socials but twitter is Chaivon84,,Iron Hands,Roaring Moon,Arcanine,Iron Bundle,Amoonguss,Annihilape,,Assault Vest,Booster Energy,Safety Goggles,Focus Sash,Rocky Helmet,Choice Scarf,,Fire,Flying,Water,Ice,Dark,Fire,Fire,Flying,Water,Ice,Dark,Fire,4 Iron Hands,9 Roaring Moon,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Annihilape,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Annihilape,4 Iron Hands,9 Roaring Moon,Arcanine,Water,Safety Goggles,Iron Bundle,Ice,Focus Sash,Amoonguss,Dark,Rocky Helmet,Annihilape,Fire,Choice Scarf,Iron Hands,Fire,Assault Vest,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Annihilape,Iron Hands,Roaring Moon,,"Iron Hands, Roaring Moon, Arcanine, Iron Bundle, Amoonguss, Annihilape",,Steven Hulse,216,Jeffrey Ouellette,82,Jeffrey Shine,24,Darsh Patel,103,Benjamin Li,183,Walter Morales,167,Alexa Koske,82,Austin Acosta,83,Jeremy Parson,80,Alex Rubinoff,41
107,#107,,7 - 3,7,3,MEX,,Arath Vera,Arath Alejandro Vera Almaraz,,,Arath,VeraArath,VeraArath,https://twitter.com/VeraArath,,,Sitrus Berry,,,Focus Sash,,,Covert Cloak,,,Assault Vest,,,Life Orb,,,Booster Energy,40,-,View,https://pokepast.es/97eea866eb93ec32,,,,,,,Iron Hands,Mimikyu,Amoonguss,Volcarona,Roaring Moon,Iron Bundle,,Assault Vest,Life Orb,Covert Cloak,Sitrus Berry,Booster Energy,Focus Sash,,Fire,Fairy,Dark,Grass,Flying,Ghost,Fire,Fairy,Dark,Grass,Flying,Ghost,4 Iron Hands,8 Mimikyu,2 Amoonguss,0 Volcarona,9 Roaring Moon,1 Iron Bundle,0 Volcarona,1 Iron Bundle,2 Amoonguss,4 Iron Hands,8 Mimikyu,9 Roaring Moon,Volcarona,Grass,Sitrus Berry,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Covert Cloak,Iron Hands,Fire,Assault Vest,Mimikyu,Fairy,Life Orb,Roaring Moon,Flying,Booster Energy,,,,,,,,,Volcarona,Iron Bundle,Amoonguss,Iron Hands,Mimikyu,Roaring Moon,,"Iron Hands, Mimikyu, Amoonguss, Volcarona, Roaring Moon, Iron Bundle",,Nykholas Quinones,361,Justin Morris,194,Nathan Chanthavong,57,Kurt Imhoff,80,Ian Packer,61,Jackson McMillan,64,David Early,29,Paul Chua,5,Christian Ramirez,18,Thomas DeRosa,61
108,#108,,7 - 3,7,3,ECU,,Paul Ruiz,Paul Ruiz,,,Ralf,ralfdude90,ralfdude90,https://twitter.com/ralfdude90,,,Life Orb,,,Booster Energy,,,Leftovers,,,Assault Vest,,,Safety Goggles,,,Covert Cloak,40,-,View,https://pokepast.es/12c3ac3b30724b34,,,,,,,Annihilape,Volcarona,Iron Bundle,Great Tusk,Roaring Moon,Maushold,,Leftovers,Life Orb,Booster Energy,Assault Vest,Covert Cloak,Safety Goggles,,Fire,Grass,Ice,Fire,Steel,Ghost,Fire,Grass,Ice,Fire,Steel,Ghost,4 Annihilape,0 Volcarona,1 Iron Bundle,4 Great Tusk,9 Roaring Moon,5 Maushold,0 Volcarona,1 Iron Bundle,4 Annihilape,4 Great Tusk,5 Maushold,9 Roaring Moon,Volcarona,Grass,Life Orb,Iron Bundle,Ice,Booster Energy,Annihilape,Fire,Leftovers,Great Tusk,Fire,Assault Vest,Maushold,Ghost,Safety Goggles,Roaring Moon,Steel,Covert Cloak,,,,,,,,,Volcarona,Iron Bundle,Annihilape,Great Tusk,Maushold,Roaring Moon,,"Annihilape, Volcarona, Iron Bundle, Great Tusk, Roaring Moon, Maushold",,Michael Holloway,267,Lorenzo Arce,173,Anthony DiNatale,116,George Bissell,77,Thaddeus Valentine,143,Jose Mena,99,Zach Carlson,89,Jose Vazquez,112,Rich Cuddy,62,Alexa Koske,78
109,#109,,7 - 3,7,3,USA,,Irving Johnson,Irving Johnson,,,Inari,IrvingVgc,IrvingVgc,https://twitter.com/IrvingVgc,,,Weakness Policy,,,Chesto Berry,,,Booster Energy,,,Choice Scarf,,,Assault Vest,,,Psychic Seed,40,-,View,https://pokepast.es/e122241c09d86967,,,,,Ax: USA. Twitter is IrvingVgc,,Iron Bundle,Indeedee-F,Abomasnow,Dondozo,Armarouge,Tatsugiri,,Booster Energy,Psychic Seed,Assault Vest,Chesto Berry,Weakness Policy,Choice Scarf,,Grass,Fairy,Water,Steel,Grass,Water,Grass,Fairy,Water,Steel,Grass,Water,1 Iron Bundle,5 Indeedee-F,2 Abomasnow,1 Dondozo,0 Armarouge,1 Tatsugiri,0 Armarouge,1 Dondozo,1 Iron Bundle,1 Tatsugiri,2 Abomasnow,5 Indeedee-F,Armarouge,Grass,Weakness Policy,Dondozo,Steel,Chesto Berry,Iron Bundle,Grass,Booster Energy,Tatsugiri,Water,Choice Scarf,Abomasnow,Water,Assault Vest,Indeedee-F,Fairy,Psychic Seed,,,,,,,,,Armarouge,Dondozo,Iron Bundle,Tatsugiri,Abomasnow,Indeedee-F,,"Iron Bundle, Indeedee-F (Indeedee-Female), Abomasnow, Dondozo, Armarouge, Tatsugiri",,Jake Pergola,344,Luis Diaz,122,Logan Carringer,160,Alexa Koske,64,Jeremy Parson,114,Jacob Mortenson,29,Janice Lee,117,Phoebe Singletary,170,Ethan Bowles,64,Aaron Clemons,67
110,#110,,7 - 3,7,3,USA,,Siddharth Singhal,Siddharth Singhal,,,Siddharth,Ink_VG,Ink_VG,https://twitter.com/Ink_VG,,,Safety Goggles,,,Mystic Water,,,Assault Vest,,,Covert Cloak,,,Life Orb,,,Booster Energy,40,-,View,https://pokepast.es/86e6724ddb282d35,,,,,Ax: India for VR (played '21 WCOP),,Flutter Mane,Gholdengo,Palafin,Roaring Moon,Arcanine,Iron Hands,,Life Orb,Covert Cloak,Mystic Water,Booster Energy,Safety Goggles,Assault Vest,,Fairy,Water,Water,Flying,Dark,Grass,Fairy,Water,Water,Flying,Dark,Grass,8 Flutter Mane,7 Gholdengo,1 Palafin,9 Roaring Moon,0 Arcanine,4 Iron Hands,0 Arcanine,1 Palafin,4 Iron Hands,7 Gholdengo,8 Flutter Mane,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Palafin,Water,Mystic Water,Iron Hands,Grass,Assault Vest,Gholdengo,Water,Covert Cloak,Flutter Mane,Fairy,Life Orb,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Palafin,Iron Hands,Gholdengo,Flutter Mane,Roaring Moon,,"Flutter Mane, Gholdengo, Palafin, Roaring Moon, Arcanine, Iron Hands",,Nomar Marquez,90,Sergio Mojica,33,thomas Gardner,165,Thaison Hughes,161,Jacob Mortenson,64,Chris Scheen,102,Ben Larson,130,Russell Klein,62,Hunter Braum,93,Ryan Haig,51
111,#111,,7 - 3,7,3,USA,,Kevin Miller,Kevin Miller,,,Kevin,kevmill13,kevmill13,https://twitter.com/kevmill13,,,Safety Goggles,,,Sitrus Berry,,,Booster Energy,,,Assault Vest,,,Life Orb,,,Choice Band,40,-,View,https://pokepast.es/0e5a8e643d003b3d,,,Shared through DMs,,"Paste with EVs, shared through DMs: https://pokepast.es/34429f27de35fa7d",,Arcanine,Amoonguss,Dragonite,Sandy Shocks,Kingambit,Mimikyu,,Safety Goggles,Sitrus Berry,Choice Band,Booster Energy,Assault Vest,Life Orb,,Water,Dark,Normal,Grass,Grass,Ghost,Water,Dark,Normal,Grass,Grass,Ghost,0 Arcanine,2 Amoonguss,9 Dragonite,3 Sandy Shocks,7 Kingambit,8 Mimikyu,0 Arcanine,2 Amoonguss,3 Sandy Shocks,7 Kingambit,8 Mimikyu,9 Dragonite,Arcanine,Water,Safety Goggles,Amoonguss,Dark,Sitrus Berry,Sandy Shocks,Grass,Booster Energy,Kingambit,Grass,Assault Vest,Mimikyu,Ghost,Life Orb,Dragonite,Normal,Choice Band,,,,,,,,,Arcanine,Amoonguss,Sandy Shocks,Kingambit,Mimikyu,Dragonite,,"Arcanine, Amoonguss, Dragonite, Sandy Shocks, Kingambit, Mimikyu",,Abdul Barrie,356,Mason Ashby,109,Don Czech,20,Zachary Jorge,74,Christopher Canway,35,Eric Santana,181,Stefan Mott,50,Luka Trejgut,57,Mia Gray,85,Russell Klein,72
112,#112,,7 - 3,7,3,USA,,David Kubiak,David Kubiak,,,Faye,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Covert Cloak,,,Booster Energy,,,Safety Goggles,,,Lum Berry,,,Colbur Berry,,,Life Orb,40,-,View,https://pokepast.es/59c62b798976562c,,,,,,,Iron Bundle,Iron Hands,Flutter Mane,Tyranitar,Armarouge,Indeedee-F,,Booster Energy,Safety Goggles,Life Orb,Lum Berry,Covert Cloak,Colbur Berry,,Water,Fire,Ground,Flying,Grass,Fairy,Water,Fire,Ground,Flying,Grass,Fairy,1 Iron Bundle,4 Iron Hands,8 Flutter Mane,4 Tyranitar,0 Armarouge,5 Indeedee-F,0 Armarouge,1 Iron Bundle,4 Iron Hands,4 Tyranitar,5 Indeedee-F,8 Flutter Mane,Armarouge,Grass,Covert Cloak,Iron Bundle,Water,Booster Energy,Iron Hands,Fire,Safety Goggles,Tyranitar,Flying,Lum Berry,Indeedee-F,Fairy,Colbur Berry,Flutter Mane,Ground,Life Orb,,,,,,,,,Armarouge,Iron Bundle,Iron Hands,Tyranitar,Indeedee-F,Flutter Mane,,"Iron Bundle, Iron Hands, Flutter Mane, Tyranitar, Armarouge, Indeedee-F (Indeedee-Female)",,Elvis Gozic,222,Dylan Stone,269,Zach Holowiak,247,Vincent Nguyen,309,Hunter Braum,223,Jacob Woods,191,Kyle Foley,86,Shiliang Tang,61,Ben Larson,73,Kevin Bisping,77
113,#113,,7 - 3,7,3,USA,,Trevor Winsler,Trevor Winsler,,,Trev,TrevVGC,TrevVGC,https://twitter.com/TrevVGC,,,Assault Vest,,,Covert Cloak,,,Sitrus Berry,,,Safety Goggles,,,Light Clay,,,Throat Spray,40,-,View,https://pokepast.es/af764ba0808f5b3e,,,https://twitter.com/TrevVGC/status/1622094404809904129/photo/2,,from his tweet,,Iron Hands,Gastrodon,Sylveon,Arcanine,Grimmsnarl,Corviknight,,Sitrus Berry,Covert Cloak,Throat Spray,Assault Vest,Light Clay,Safety Goggles,,Grass,Fire,Fire,Grass,Ghost,Dragon,Grass,Fire,Fire,Grass,Ghost,Dragon,4 Iron Hands,1 Gastrodon,8 Sylveon,0 Arcanine,8 Grimmsnarl,7 Corviknight,0 Arcanine,1 Gastrodon,4 Iron Hands,7 Corviknight,8 Grimmsnarl,8 Sylveon,Arcanine,Grass,Assault Vest,Gastrodon,Fire,Covert Cloak,Iron Hands,Grass,Sitrus Berry,Corviknight,Dragon,Safety Goggles,Grimmsnarl,Ghost,Light Clay,Sylveon,Fire,Throat Spray,,,,,,,,,Arcanine,Gastrodon,Iron Hands,Corviknight,Grimmsnarl,Sylveon,,"Iron Hands, Gastrodon, Sylveon, Arcanine, Grimmsnarl, Corviknight",,Brandon Wyche,10,Tyler Dunn,191,Jonathan Quiñones,53,Joseph Alfano,149,Zach Carlson,96,Pablo Marquez,110,Stephen Mea,128,Adrian Heredia,78,Angel Torres,57,Andrew Johnson,57
114,#114,,7 - 3,7,3,USA,,Christopher Baez,Christopher Baez,,,Novacast,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Sitrus Berry,,,Focus Sash,,,Covert Cloak,,,Assault Vest,,,Throat Spray,,,Booster Energy,40,-,View,https://pokepast.es/4870a91c642376bb,,,,,,,Iron Hands,Roaring Moon,Arcanine,Amoonguss,Iron Bundle,Farigiraf,,Assault Vest,Booster Energy,Sitrus Berry,Covert Cloak,Focus Sash,Throat Spray,,Fire,Flying,Grass,Grass,Water,Fairy,Fire,Flying,Grass,Grass,Water,Fairy,4 Iron Hands,9 Roaring Moon,0 Arcanine,2 Amoonguss,1 Iron Bundle,6 Farigiraf,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Farigiraf,9 Roaring Moon,Arcanine,Grass,Sitrus Berry,Iron Bundle,Water,Focus Sash,Amoonguss,Grass,Covert Cloak,Iron Hands,Fire,Assault Vest,Farigiraf,Fairy,Throat Spray,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Farigiraf,Roaring Moon,,"Iron Hands, Roaring Moon, Arcanine, Amoonguss, Iron Bundle, Farigiraf",,Everett Filloon,70,Richie Gutierrez,307,Mike Stedham,203,Adam Baltrusaitis,129,Raul Valverde,153,Rob McNeilly,169,Christopher Canway,56,Max Gelman,49,Jonathan Howle,69,Stephanie Scruggs,85
115,#115,,7 - 3,7,3,USA,,Ana Hoffman,Ana Hoffman,,,❤NHoff❤UwU❤,GoddessNHoff,GoddessNHoff,https://twitter.com/GoddessNHoff,,,Charcoal,,,Sitrus Berry,,,Assault Vest,,,Life Orb,,,Focus Sash,,,Booster Energy,40,-,View,https://pokepast.es/37cd8bb8229c4337,,,https://twitter.com/GoddessNHoff/status/1622075077897457664,,from her tweet,,Roaring Moon,Brute Bonnet,Amoonguss,Hatterene,Flutter Mane,Torkoal,,Booster Energy,Assault Vest,Sitrus Berry,Focus Sash,Life Orb,Charcoal,,Flying,Fire,Dark,Psychic,Fairy,Fire,Flying,Fire,Dark,Psychic,Fairy,Fire,9 Roaring Moon,2 Brute Bonnet,2 Amoonguss,8 Hatterene,8 Flutter Mane,0 Torkoal,0 Torkoal,2 Amoonguss,2 Brute Bonnet,8 Flutter Mane,8 Hatterene,9 Roaring Moon,Torkoal,Fire,Charcoal,Amoonguss,Dark,Sitrus Berry,Brute Bonnet,Fire,Assault Vest,Flutter Mane,Fairy,Life Orb,Hatterene,Psychic,Focus Sash,Roaring Moon,Flying,Booster Energy,,,,,,,,,Torkoal,Amoonguss,Brute Bonnet,Flutter Mane,Hatterene,Roaring Moon,,"Roaring Moon, Brute Bonnet, Amoonguss, Hatterene, Flutter Mane, Torkoal",,Olly Porteous,173,Alberto Lara,108,Austin Ramos,58,Chris Fleischner,144,Jack Kufa,89,Andrew Ding,149,Luka Trejgut,66,Brock Daigle,133,Victor Delgado,125,Noah Pielow,56
116,#116,,7 - 3,7,3,USA,,Luhou Shen,Luhou Shen,,,Luhou,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Safety Goggles,,,Loaded Dice,,,Assault Vest,,,Sitrus Berry,,,Covert Cloak,,,Clear Amulet,40,-,View,https://pokepast.es/5d11951cd99111ed,,,,,,,Gothitelle,Brute Bonnet,Iron Hands,Dragonite,Arcanine,Scream Tail,,Sitrus Berry,Loaded Dice,Assault Vest,Clear Amulet,Safety Goggles,Covert Cloak,,Water,Fire,Grass,Flying,Normal,Dark,Water,Fire,Grass,Flying,Normal,Dark,6 Gothitelle,2 Brute Bonnet,4 Iron Hands,9 Dragonite,0 Arcanine,8 Scream Tail,0 Arcanine,2 Brute Bonnet,4 Iron Hands,6 Gothitelle,8 Scream Tail,9 Dragonite,Arcanine,Normal,Safety Goggles,Brute Bonnet,Fire,Loaded Dice,Iron Hands,Grass,Assault Vest,Gothitelle,Water,Sitrus Berry,Scream Tail,Dark,Covert Cloak,Dragonite,Flying,Clear Amulet,,,,,,,,,Arcanine,Brute Bonnet,Iron Hands,Gothitelle,Scream Tail,Dragonite,,"Gothitelle, Brute Bonnet, Iron Hands, Dragonite, Arcanine, Scream Tail",,Sel Benitez,6,Clayton Lusk,316,Erik Dehne,292,Kayla Ortiz,252,Albert Larsen,205,Daniel Hindes,125,Jacob Kohr,96,Austin Ramos,85,Michael Zhang,40,Brendan Zheng,22
117,#117,,7 - 3,7,3,USA,,Darius Lamonte,Darius Lamonte,,,Darius,darius_esq,darius_esq,https://twitter.com/darius_esq,,,Sitrus Berry,,,Covert Cloak,,,Assault Vest,,,Leftovers,,,Focus Sash,,,Clear Amulet,40,-,View,https://pokepast.es/c6478e1e136d4f0e,,,,,,,Baxcalibur,Flutter Mane,Gastrodon,Iron Hands,Corviknight,Arcanine,,Clear Amulet,Focus Sash,Covert Cloak,Assault Vest,Leftovers,Sitrus Berry,,Steel,Fire,Fire,Grass,Dragon,Grass,Steel,Fire,Fire,Grass,Dragon,Grass,9 Baxcalibur,8 Flutter Mane,1 Gastrodon,4 Iron Hands,7 Corviknight,0 Arcanine,0 Arcanine,1 Gastrodon,4 Iron Hands,7 Corviknight,8 Flutter Mane,9 Baxcalibur,Arcanine,Grass,Sitrus Berry,Gastrodon,Fire,Covert Cloak,Iron Hands,Grass,Assault Vest,Corviknight,Dragon,Leftovers,Flutter Mane,Fire,Focus Sash,Baxcalibur,Steel,Clear Amulet,,,,,,,,,Arcanine,Gastrodon,Iron Hands,Corviknight,Flutter Mane,Baxcalibur,,"Baxcalibur, Flutter Mane, Gastrodon, Iron Hands, Corviknight, Arcanine",,Joseph Uong,151,Tom Savady,153,James Evans,88,Edward Plascencia,101,Zach Holowiak,43,Michael Holloway,142,Jason Calderon,70,Sydney Sutter,176,Landon Morjal,78,Dan Fitzpatrick,88
